Rank,CCA3,Country/Territory,Capital,Continent,2026 Population,2025 Population,2024 Population,2023 Population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
16,VNM,Vietnam,Hanoi,Asia,101337028,100540134,99749507,98965097,98186856,96648685,92677164,87411012,79001142,66016400,53722000,42729028,331212,305.96,1.0079,1.34
17,IRN,Iran,Tehran,Asia,93831047,92482117,91152579,89842155,88550570,86022837,79942403,74462729,66132194,58946460,39229262,28992501,1648195,56.93,1.0146,1.25
18,TUR,Turkey,Ankara,Asia,87381456,86866875,86355324,85846785,85341241,84339067,78271472,73142980,64114488,54132635,44438463,35758018,783562,111.52,1.0059,1.16
19,DEU,Germany,Berlin,Europe,83451613,83431163,83410718,83390278,83369843,83328988,81686611,80825030,81400290,79433029,78289962,78169289,357114,233.68,1.0002,1.11
20,TZA,Tanzania,Dodoma,Africa,74293522,71989607,69757139,67593901,65497748,61498437,52234869,45647934,35000000,27091000,19017000,13611945,945087,78.61,1.032,0.99
21,THA,Thailand,Bangkok,Asia,72141821,72030365,71919082,71807970,71697030,71475664,68935042,67041135,62693162,56941909,47449106,36939476,513120,140.59,1.0015,0.96
22,GBR,United Kingdom,London,Europe,68416918,68188784,67961410,67734795,67508936,67059474,65525093,63258918,58892514,57237500,56314216,55632200,243610,280.85,1.0033,0.91
23,FRA,France,Paris,Europe,64920778,64847115,64773536,64700040,64626628,64480053,64457450,62760980,60912500,58076875,53713750,51012500,551695,117.68,1.0011,0.86
24,ZAF,South Africa,Pretoria,Africa,62139011,61569960,61006121,60447445,59893885,58801927,55386367,51784927,46813266,37469608,29024489,22697070,1221037,50.89,1.0092,0.82
25,ITA,Italy,Rome,Europe,57732130,58031861,58333149,58636001,58940425,59554023,60730582,59190143,56942108,56719240,56423265,53661180,301336,191.59,0.9948,0.77
26,MMR,Myanmar,Naypyidaw,Asia,55723777,55333580,54946115,54561364,54179306,53423198,51393100,50116967,46833226,40901000,33701000,27088536,676578,82.36,1.0071,0.74
27,KEN,Kenya,Nairobi,Africa,55105694,54573000,54045455,53523009,53005614,51985780,47878774,41517895,31336574,23402522,16404332,11498195,580367,94.95,1.0098,0.73
28,UGA,Uganda,Kampala,Africa,53824878,52099888,50430181,48813985,47249585,44269587,37101745,32428348,24386211,17944886,12734254,9535315,241550,222.83,1.0331,0.71
29,COL,Colombia,Bogotá,South America,53813492,53321931,52834859,52352237,51874024,50930662,47516417,44946107,39685655,34893268,28447835,22562133,1141748,47.13,1.0092,0.71
30,IRQ,Iraq,Baghdad,Asia,51952624,49978839,48080041,46253382,44496122,41179351,36449375,31606635,24603540,18511500,13645800,9982071,438317,118.53,1.0395,0.69
31,KOR,South Korea,Seoul,Asia,51774976,51785182,51795389,51805599,51815810,51836239,51014947,49554112,47008111,42869283,38123775,32240827,100210,516.66,0.9998,0.69
32,SDN,Sudan,Khartoum,Africa,48192432,47545723,46907692,46278224,45657202,44440048,39930525,36160013,31294927,25946622,18681995,13999189,1886068,25.55,1.0136,0.64
33,DZA,Algeria,Algiers,Africa,47953437,47171989,46403275,45647089,44903225,43451666,39871528,36485828,31183658,25842288,18811232,13932994,2381741,20.13,1.0166,0.64
34,ESP,Spain,Madrid,Europe,47775036,47720842,47666710,47612639,47558630,47450795,46444832,46576897,40263216,38850000,37439000,33876300,505990,94.42,1.0011,0.63
35,ARG,Argentina,Buenos Aires,South America,46473927,46231129,45989599,45749331,45510318,45036032,43257065,41223889,37070774,32637657,28090707,24019887,2780400,16.71,1.0053,0.62
36,POL,Poland,Warsaw,Europe,43242902,42370410,41515522,40677883,39857145,38265013,38220543,38597353,38504000,38119000,35735000,32526000,312679,138.3,1.0206,0.57
37,UKR,Ukraine,Kyiv,Europe,42858629,43025846,43193715,43362240,43531422,43871769,44823765,45448336,48870457,51838574,50047000,47415882,603500,71.02,0.9961,0.57
38,AGO,Angola,Luanda,Africa,41176654,39702440,38281006,36910462,35588987,33086278,28127721,23364185,16394062,11828638,8330047,6029700,1246700,33.03,1.0371,0.55
39,MAR,Morocco,Rabat,Africa,39511104,38987504,38470843,37961029,37457971,36471766,34863310,33574571,29169000,24575000,19566000,15501000,446550,88.48,1.0134,0.52
40,CAN,Canada,Ottawa,North America,39364494,39134952,38906749,38679876,38454327,38007166,35702908,34004889,30685730,27691000,24593000,21324000,9984670,3.94,1.0059,0.52
41,SAU,Saudi Arabia,Riyadh,Asia,38642926,38071865,37509244,36954936,36408820,35340680,31787580,27447000,20654000,16111000,9603000,5745000,2149690,17.98,1.015,0.51
42,YEM,Yemen,Sana'a,Asia,36709872,35932193,35170988,34425909,33696614,32284046,28516545,24743946,18628700,13048305,9204938,6749296,527968,69.53,1.0216,0.49
43,MYS,Malaysia,Kuala Lumpur,Asia,36383828,35756381,35139755,34533763,33938221,32777771,30723155,28182493,23415855,18103565,13763826,10853312,330803,109.99,1.0175,0.48
44,PER,Peru,Lima,South America,35473066,35111713,34754040,34400011,34049588,33359415,31376670,29229570,26654439,21713700,17322535,13548598,1285216,27.6,1.0103,0.47
45,UZB,Uzbekistan,Tashkent,Asia,35432624,35229644,35027826,34827164,34627652,34232050,31298902,28769836,24905680,20514772,15964822,12097928,447400,79.2,1.0058,0.47
46,MOZ,Mozambique,Maputo,Africa,34643633,34217298,33796211,33380305,32969518,32163047,28001000,24096669,18538924,14163947,12095999,9552279,801590,43.22,1.0125,0.46
47,GHA,Ghana,Accra,Africa,33765539,33417806,33073655,32733048,32395948,31732128,28206728,25391350,19894014,15106835,11338841,8660245,238533,141.56,1.0104,0.45
48,NPL,Nepal,Kathmandu,Asia,32052084,31699952,31351688,31007251,30666598,29996478,29303479,27825000,24404567,19095498,14555609,11531317,147181,217.77,1.0111,0.43
49,MDG,Madagascar,Antananarivo,Africa,31529794,30854897,30194446,29548132,28915653,27691019,24234088,21437752,15766567,11660083,8600481,6656597,587041,53.71,1.0219,0.42
50,NER,Niger,Niamey,Africa,30400895,29293628,28226689,27198611,26207977,24333639,19899120,16543943,10985686,7789630,5771596,4229243,1266700,24.0,1.0378,0.4
51,CMR,Cameroon,Yaoundé,Africa,29348034,28982901,28622312,28266209,27914536,27224262,24544280,21631645,16382990,12245187,9002074,6839974,475442,61.73,1.0126,0.39
52,VEN,Venezuela,Caracas,South America,27927925,28020903,28114190,28207787,28301696,28490453,29341453,28715022,24427729,19750579,15095029,11355475,912050,30.62,0.9967,0.37
53,AUS,Australia,Canberra,Oceania,27222419,26957320,26694803,26434842,26177413,25670051,23815995,22162200,19153000,17065100,14706500,12660200,7692024,3.54,1.0098,0.36
54,PRK,North Korea,Pyongyang,Asia,26478177,26375390,26273002,26171011,26069416,25867408,25281200,24501383,22912177,20143000,17020000,14283005,120538,219.67,1.0039,0.35
55,BFA,Burkina Faso,Ouagadougou,Africa,25164032,24516929,23886466,23272216,22673762,21522626,19193273,17275807,12894865,9542842,7057573,5638477,272967,92.19,1.0264,0.33
56,MLI,Mali,Bamako,Africa,25014690,24386117,23773339,23175959,22593590,21472386,18541980,15839538,11964854,9017772,7027465,5717455,1240192,20.17,1.0258,0.33
57,ZMB,Zambia,Lusaka,Africa,22389507,21771422,21170401,20585971,20017675,18927715,16248230,14023197,10415944,8038403,5720438,4223634,752618,29.75,1.0284,0.3
58,MWI,Malawi,Lilongwe,Africa,22009355,21596895,21192165,20795020,20405317,19647684,17720369,16064800,12136182,9385622,6180175,4649961,118484,185.76,1.0191,0.29
59,LKA,Sri Lanka,Colombo,Asia,21659460,21702502,21745630,21788844,21832143,21919000,20966000,20261737,19102477,17325773,14740317,12514898,65610,330.12,0.998,0.29
60,KAZ,Kazakhstan,Astana,Asia,20923686,20586352,20254457,19927913,19606633,18979529,17583775,16323613,14956648,16468000,14985966,13029182,2724900,7.68,1.0164,0.28
61,CHL,Chile,Santiago,South America,20410557,20205790,20003078,19802399,19603733,19212361,17969353,17165971,15351799,13179752,11424163,9825704,756102,26.99,1.0101,0.27
62,ROU,Romania,Bucharest,Europe,20337753,20165967,19995632,19826736,19659267,19328560,19878620,20246871,22128412,23206720,22201387,20252541,238391,85.31,1.0085,0.27
63,TCD,Chad,N'Djamena,Africa,18948586,18634547,18325713,18021997,17723315,17140719,14181193,11794300,8027230,5966508,4750813,3861962,1284000,14.76,1.0169,0.25
64,GTM,Guatemala,Guatemala City,North America,18599156,18471056,18343839,18217497,18092026,17843670,16017670,14757316,11940316,9053035,7040420,5300771,108889,170.81,1.0069,0.25
65,SEN,Senegal,Dakar,Africa,18537423,18224337,17916538,17613938,17316449,16736459,14966865,13209656,9922384,7477783,5588578,4256224,196722,94.23,1.0172,0.25
66,ECU,Ecuador,Quito,South America,18503658,18347906,18193466,18040325,17888474,17588595,16144360,15012228,12667675,10264296,8035120,6167750,276841,66.84,1.0085,0.25
67,NLD,Netherlands,Amsterdam,Europe,17812367,17749952,17687755,17625776,17564014,17441139,16939923,16615394,15926100,14951511,14150807,13032335,41850,425.62,1.0035,0.24
68,KHM,Cambodia,Phnom Penh,Asia,17500389,17314305,17130200,16948053,16767842,16413149,15577899,14364250,12162989,9635725,6690164,7099629,181035,96.67,1.0107,0.23
